Titel	UBVU-ID	zoomnr	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path	page type
XP.05095_voorplat	2,18E+11	VUA005000002_0001	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/0	0	1.jpg	/bis/image/1.jpg	1
XP.05095_OT_004	2,18E+11	VUA005000002_0004_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/1	1	2.jpg	/bis/image/2.jpg	1
XP.05095_OT_005	2,18E+11	VUA005000002_0006_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/2	2	3.jpg	/bis/image/3.jpg	1
XP.05095_OT_006	2,18E+11	VUA005000002_0008_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/3	3	4.jpg	/bis/image/4.jpg	1
XP.05095_OT_007	2,18E+11	VUA005000002_0010_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/4	4	5.jpg	/bis/image/5.jpg	1
XP.05095_OT_008	2,18E+11	VUA005000002_0012_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/5	5	6.jpg	/bis/image/6.jpg	1
XP.05095_OT_010	2,18E+11	VUA005000002_0016_R	20-5-2014	20-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/6	6	7.jpg	/bis/image/7.jpg	1
XP.05095_OT_012	2,18E+11	VUA005000002_0018_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/7	7	8.jpg	/bis/image/8.jpg	1
XP.05095_OT_014	2,18E+11	VUA005000002_0020_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/8	8	9.jpg	/bis/image/9.jpg	1
XP.05095_OT_016	2,18E+11	VUA005000002_0022_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/9	9	10.jpg	/bis/image/10.jpg	1
XP.05095_OT_018	2,18E+11	VUA005000002_0024_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/10	10	11.jpg	/bis/image/11.jpg	1
XP.05095_OT_019	2,18E+11	VUA005000002_0026_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/11	11	12.jpg	/bis/image/12.jpg	1
XP.05095_OT_020	2,18E+11	VUA005000002_0028_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/12	12	13.jpg	/bis/image/13.jpg	1
XP.05095_OT_021	2,18E+11	VUA005000002_0030_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/13	13	14.jpg	/bis/image/14.jpg	1
XP.05095_OT_022	2,18E+11	VUA005000002_0032_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/14	14	15.jpg	/bis/image/15.jpg	1
XP.05095_OT_024	2,18E+11	VUA005000002_0034_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/15	15	16.jpg	/bis/image/16.jpg	1
XP.05095_OT_029	2,18E+11	VUA005000002_0036_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/16	16	17.jpg	/bis/image/17.jpg	1
XP.05095_OT_025	2,18E+11	VUA005000002_0038_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/17	17	18.jpg	/bis/image/18.jpg	1
XP.05095_OT_026	2,18E+11	VUA005000002_0040_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/18	18	19.jpg	/bis/image/19.jpg	1
XP.05095_OT_028	2,18E+11	VUA005000002_0042_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/19	19	20.jpg	/bis/image/20.jpg	1
XP.05095_OT_030	2,18E+11	VUA005000002_0044_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/20	20	21.jpg	/bis/image/21.jpg	1
XP.05095_OT_031	2,18E+11	VUA005000002_0046_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/21	21	22.jpg	/bis/image/22.jpg	1
XP.05095_OT_032	2,18E+11	VUA005000002_0048_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/22	22	23.jpg	/bis/image/23.jpg	1
XP.05095_OT_033	2,18E+11	VUA005000002_0050_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/23	23	24.jpg	/bis/image/24.jpg	1
XP.05095_OT_034	2,18E+11	VUA005000002_0052_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/24	24	25.jpg	/bis/image/25.jpg	1
XP.05095_OT_037	2,18E+11	VUA005000002_0054_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/25	25	26.jpg	/bis/image/26.jpg	1
XP.05095_OT_038	2,18E+11	VUA005000002_0056_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/26	26	27.jpg	/bis/image/27.jpg	1
XP.05095_OT_040	2,18E+11	VUA005000002_0058_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/27	27	28.jpg	/bis/image/28.jpg	1
XP.05095_OT_043	2,18E+11	VUA005000002_0060_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/28	28	29.jpg	/bis/image/29.jpg	1
XP.05095_OT_044	2,18E+11	VUA005000002_0062_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/29	29	30.jpg	/bis/image/30.jpg	1
XP.05095_NT_052	2,18E+11	VUA005000002_0064_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/30	30	31.jpg	/bis/image/31.jpg	1
XP.05095_NT_053	2,18E+11	VUA005000002_0066_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/31	31	32.jpg	/bis/image/32.jpg	1
XP.05095_NT_054	2,18E+11	VUA005000002_0068_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/32	32	33.jpg	/bis/image/33.jpg	1
